"Parcela","Fila","Columna","Variedad","rend"
101,"1","1","A",387
102,"1","2","D",412
103,"1","3","C",366
104,"1","4","E",370
105,"1","5","B",404
201,"2","1","B",380
202,"2","2","E",383
203,"2","3","D",403
204,"2","4","A",364
205,"2","5","C",380
301,"3","1","C",417
302,"3","2","A",413
303,"3","3","E",350
304,"3","4","B",398
305,"3","5","D",425
401,"4","1","E",380
402,"4","2","C",409
403,"4","3","B",392
404,"4","4","D",412
405,"4","5","A",415
501,"5","1","D",388
502,"5","2","B",393
503,"5","3","A",381
504,"5","4","C",382
505,"5","5","E",376
